time,price,mean,min,max,sd
2019-7-7 02:33:51,1301557,1301473,1301410,1301557,57
2019-7-7 02:33:51,1301642,1301505,1301410,1301642,88
2019-7-7 02:33:52,1301700,1301563,1301410,1301700,101
2019-7-7 02:33:53,1301926,1301666,1301507,1301926,145
2019-7-7 02:33:54,1301934,1301751,1301557,1301934,152
2019-7-7 02:33:55,1301681,1301776,1301642,1301934,126
2019-7-7 02:33:56,1302222,1301892,1301681,1302222,196
2019-7-7 02:33:57,1302184,1301989,1301681,1302222,197
2019-7-7 02:33:58,1302405,1302085,1301681,1302405,251
2019-7-7 02:33:59,1302338,1302166,1301681,1302405,255
2019-7-7 02:33:59,1302338,1302297,1302184,1302405,81
2019-7-7 02:34:00,1302164,1302285,1302164,1302405,94
2019-7-7 02:34:01,1302469,1302342,1302164,1302469,101
2019-7-7 02:34:02,1302197,1302301,1302164,1302469,110
2019-7-7 02:34:03,1302415,1302316,1302164,1302469,119
2019-7-7 02:34:04,1302415,1302332,1302164,1302469,125
2019-7-7 02:34:05,1302090,1302317,1302090,1302469,147
2019-7-7 02:34:06,1302183,1302260,1302090,1302415,131
2019-7-7 02:34:07,1302090,1302238,1302090,1302415,147
2019-7-7 02:34:08,1302090,1302173,1302090,1302415,125
2019-7-7 02:34:08,1302090,1302108,1302090,1302183,37
2019-7-7 02:34:09,1302070,1302104,1302070,1302183,39
2019-7-7 02:34:10,1302285,1302125,1302070,1302285,80
2019-7-7 02:34:11,1302324,1302171,1302070,1302324,109
2019-7-7 02:34:12,1302405,1302234,1302070,1302405,132
2019-7-7 02:34:13,1302450,1302306,1302070,1302450,131
2019-7-7 02:34:14,1302495,1302391,1302285,1302495,77
2019-7-7 02:34:14,1302984,1302531,1302324,1302984,233
2019-7-7 02:34:16,1303131,1302693,1302405,1303131,302
2019-7-7 02:34:17,1303041,1302820,1302450,1303131,288
2019-7-7 02:34:18,1303212,1302972,1302495,1303212,251
2019-7-7 02:34:19,1303194,1303112,1302984,1303212,87
2019-7-7 02:34:19,1303041,1303123,1303041,1303212,72
2019-7-7 02:34:20,1303041,1303105,1303041,1303212,79
2019-7-7 02:34:21,1303040,1303105,1303040,1303212,79
2019-7-7 02:34:22,1303040,1303071,1303040,1303194,61
2019-7-7 02:34:23,1303040,1303040,1303040,1303041,0
2019-7-7 02:34:24,1303040,1303040,1303040,1303041,0
2019-7-7 02:34:25,1303193,1303070,1303040,1303193,61
2019-7-7 02:34:25,1303294,1303121,1303040,1303294,104
2019-7-7 02:34:26,1303294,1303172,1303040,1303294,114
2019-7-7 02:34:27,1303208,1303205,1303040,1303294,92
2019-7-7 02:34:28,1303313,1303260,1303193,1303313,49
2019-7-7 02:34:29,1303313,1303284,1303208,1303313,39
2019-7-7 02:34:30,1303313,1303288,1303208,1303313,40
2019-7-7 02:34:31,1303301,1303289,1303208,1303313,41
2019-7-7 02:34:32,1303311,1303310,1303301,1303313,4
2019-7-7 02:34:33,1303252,1303298,1303252,1303313,23
2019-7-7 02:34:34,1303262,1303287,1303252,1303313,25
2019-7-7 02:34:35,1303284,1303282,1303252,1303311,22
2019-7-7 02:34:36,1303268,1303275,1303252,1303311,20
2019-7-7 02:34:37,1303271,1303267,1303252,1303284,10
2019-7-7 02:34:38,1303592,1303335,1303262,1303592,128
2019-7-7 02:34:38,1303834,1303449,1303268,1303834,228
2019-7-7 02:34:40,1303698,1303532,1303268,1303834,228
2019-7-7 02:34:40,1303659,1303610,1303271,1303834,187
2019-7-7 02:34:41,1303485,1303653,1303485,1303834,115
2019-7-7 02:34:42,1303313,1303597,1303313,1303834,180
2019-7-7 02:34:43,1303535,1303538,1303313,1303698,136
2019-7-7 02:34:44,1303505,1303499,1303313,1303659,111
2019-7-7 02:34:45,1303391,1303445,1303313,1303535,82
2019-7-7 02:34:46,1303391,1303427,1303313,1303535,81
2019-7-7 02:34:47,1303391,1303442,1303391,1303535,63
2019-7-7 02:34:48,1303391,1303413,1303391,1303505,45
2019-7-7 02:34:48,1303391,1303391,1303391,1303391,0
2019-7-7 02:34:49,1303566,1303426,1303391,1303566,70
2019-7-7 02:34:50,1303658,1303479,1303391,1303658,112
2019-7-7 02:34:51,1303484,1303498,1303391,1303658,103
2019-7-7 02:34:52,1303484,1303516,1303391,1303658,89
2019-7-7 02:34:53,1303657,1303569,1303484,1303658,77
2019-7-7 02:34:54,1303657,1303588,1303484,1303658,84
2019-7-7 02:34:55,1303657,1303587,1303484,1303657,84
2019-7-7 02:34:55,1303657,1303622,1303484,1303657,69
2019-7-7 02:34:56,1303538,1303633,1303538,1303657,47
2019-7-7 02:34:57,1303657,1303633,1303538,1303657,47
2019-7-7 02:34:58,1303504,1303602,1303504,1303657,67
2019-7-7 02:34:59,1303489,1303569,1303489,1303657,73
2019-7-7 02:35:00,1303500,1303537,1303489,1303657,61
2019-7-7 02:35:01,1303392,1303508,1303392,1303657,84
2019-7-7 02:35:02,1303392,1303455,1303392,1303504,51
2019-7-7 02:35:03,1303392,1303433,1303392,1303500,50
2019-7-7 02:35:04,1303318,1303398,1303318,1303500,58
2019-7-7 02:35:05,1303313,1303361,1303313,1303392,37
2019-7-7 02:35:06,1303313,1303345,1303313,1303392,37
2019-7-7 02:35:07,1303346,1303336,1303313,1303392,30
2019-7-7 02:35:07,1303420,1303342,1303313,1303420,40
2019-7-7 02:35:09,1303500,1303378,1303313,1303500,72
2019-7-7 02:35:09,1303393,1303394,1303313,1303500,64
2019-7-7 02:35:10,1303500,1303431,1303346,1303500,60
2019-7-7 02:35:11,1303563,1303475,1303393,1303563,61
2019-7-7 02:35:12,1303478,1303486,1303393,1303563,54
2019-7-7 02:35:13,1303478,1303482,1303393,1303563,54
2019-7-7 02:35:14,1303443,1303492,1303443,1303563,39
2019-7-7 02:35:15,1303443,1303481,1303443,1303563,43
2019-7-7 02:35:16,1303443,1303457,1303443,1303478,17
2019-7-7 02:35:16,1303449,1303451,1303443,1303478,13
2019-7-7 02:35:17,1303488,1303453,1303443,1303488,17
2019-7-7 02:35:18,1303523,1303469,1303443,1303523,31
2019-7-7 02:35:19,1303561,1303492,1303443,1303561,44
2019-7-7 02:35:20,1303657,1303535,1303449,1303657,71
2019-7-7 02:35:21,1303625,1303570,1303488,1303657,62
2019-7-7 02:35:22,1303985,1303670,1303523,1303985,164
2019-7-7 02:35:23,1303919,1303749,1303561,1303985,169
2019-7-7 02:35:23,1303753,1303787,1303625,1303985,142
2019-7-7 02:35:24,1303706,1303797,1303625,1303985,134
2019-7-7 02:35:25,1303711,1303814,1303706,1303985,115
2019-7-7 02:35:26,1303745,1303766,1303706,1303919,78
2019-7-7 02:35:27,1303923,1303767,1303706,1303923,79
2019-7-7 02:35:28,1304032,1303823,1303706,1304032,131
2019-7-7 02:35:29,1304056,1303893,1303711,1304056,142
2019-7-7 02:35:29,1304059,1303963,1303745,1304059,119
2019-7-7 02:35:30,1304059,1304025,1303923,1304059,52
2019-7-7 02:35:31,1303854,1304012,1303854,1304059,79
2019-7-7 02:35:32,1303854,1303976,1303854,1304059,99
2019-7-7 02:35:33,1303854,1303936,1303854,1304059,100
2019-7-7 02:35:34,1303854,1303895,1303854,1304059,82
2019-7-7 02:35:35,1303854,1303854,1303854,1303854,0
2019-7-7 02:35:36,1304156,1303914,1303854,1304156,120
2019-7-7 02:35:37,1304156,1303974,1303854,1304156,147
2019-7-7 02:35:37,1304156,1304035,1303854,1304156,147
2019-7-7 02:35:38,1304074,1304079,1303854,1304156,116
2019-7-7 02:35:39,1304177,1304143,1304074,1304177,35
2019-7-7 02:35:40,1304177,1304148,1304074,1304177,38
2019-7-7 02:35:41,1304177,1304152,1304074,1304177,39
2019-7-7 02:35:42,1304177,1304156,1304074,1304177,41
2019-7-7 02:35:43,1304014,1304144,1304014,1304177,65
2019-7-7 02:35:43,1304176,1304144,1304014,1304177,65
2019-7-7 02:35:44,1304176,1304144,1304014,1304177,65
2019-7-7 02:35:45,1303996,1304107,1303996,1304177,84
2019-7-7 02:35:46,1303996,1304071,1303996,1304176,85
2019-7-7 02:35:47,1304137,1304096,1303996,1304176,83
2019-7-7 02:35:48,1304046,1304070,1303996,1304176,73
2019-7-7 02:35:48,1303996,1304034,1303996,1304137,54
2019-7-7 02:35:49,1304087,1304052,1303996,1304137,54
2019-7-7 02:35:50,1304107,1304074,1303996,1304137,49
2019-7-7 02:35:51,1304123,1304071,1303996,1304123,45
2019-7-7 02:35:52,1304169,1304096,1303996,1304169,57
2019-7-7 02:35:53,1304169,1304131,1304087,1304169,33
2019-7-7 02:35:54,1304169,1304147,1304107,1304169,26
2019-7-7 02:35:55,1304371,1304200,1304123,1304371,87
2019-7-7 02:35:56,1304371,1304249,1304169,1304371,98
2019-7-7 02:35:56,1304371,1304290,1304169,1304371,98
2019-7-7 02:35:57,1304371,1304330,1304169,1304371,80
